name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;70;0;446;3055;1223;3055;1063;0
header;77;157;77;193;1714;193;1714;157
A;731;106;731;106;731;106;731;106
A;615;149;615;151;620;151;620;149
A;889;229;889;256;909;256;909;229
B;558;414;558;431;568;431;568;414
A;779;546;779;572;793;572;793;546
A;968;577;968;577;968;577;968;577
A;314;601;314;605;319;605;319;601
A;789;684;789;711;807;711;807;684
B;890;914;890;940;910;940;910;914
A;380;1075;380;1085;387;1085;387;1075
B;1006;1108;1006;1127;1025;1127;1025;1108
A;587;1373;587;1375;589;1375;589;1373
C;893;1599;893;1628;914;1628;914;1599
A;306;1604;306;1631;325;1631;325;1604
A;637;1796;637;1802;644;1802;644;1796
D;905;2270;905;2298;926;2298;926;2270
A;766;2489;766;2495;772;2495;772;2489
D;642;2896;642;2911;664;2911;664;2896
B;742;2902;742;2924;760;2924;760;2902
