name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;221;0;198;3049;1029;3049;1029;0
header;5;4;5;120;1926;120;1926;4
A;627;83;627;84;629;84;629;83
A;884;84;884;85;888;85;888;84
A;916;86;916;89;920;89;920;86
A;1004;87;1004;88;1006;88;1006;87
A;957;88;957;88;957;88;957;88
A;875;91;875;93;878;93;878;91
A;908;95;908;95;908;95;908;95
A;635;99;635;102;638;102;638;99
A;933;101;933;101;934;101;934;101
A;613;104;613;104;613;104;613;104
A;625;106;625;110;632;110;632;106
A;928;107;928;110;929;110;929;107
A;792;127;792;130;799;130;799;127
A;860;127;860;128;862;128;862;127
A;980;127;980;129;982;129;982;127
A;1002;128;1002;129;1005;129;1005;128
A;521;134;521;134;523;134;523;134
A;813;135;813;136;813;136;813;135
A;853;135;853;136;853;136;853;135
A;765;139;765;139;767;139;767;139
A;749;142;749;143;750;143;750;142
A;477;143;477;144;477;144;477;143
A;645;144;645;148;647;148;647;144
A;613;146;613;152;616;152;616;146
A;628;146;628;150;630;150;630;146
A;845;147;845;150;852;150;852;147
A;292;148;292;150;293;150;293;148
A;391;148;391;148;391;148;391;148
A;873;148;873;149;873;149;873;148
A;922;148;922;149;925;149;925;148
A;417;152;417;153;417;153;417;152
A;525;152;525;155;525;155;525;152
A;521;153;521;153;521;153;521;153
A;979;155;979;158;986;158;986;155
A;501;159;501;160;501;160;501;159
A;549;159;549;161;549;161;549;159
A;589;160;589;160;589;160;589;160
A;529;164;529;164;529;164;529;164
A;469;168;469;168;469;168;469;168
A;549;168;549;169;550;169;550;168
A;587;168;587;168;590;168;590;168
A;633;169;633;169;633;169;633;169
A;444;171;444;172;447;172;447;171
A;814;171;814;172;814;172;814;171
A;478;172;478;172;478;172;478;172
A;612;172;612;172;612;172;612;172
A;308;175;308;175;308;175;308;175
A;469;176;469;176;475;176;475;176
A;515;176;515;176;519;176;519;176
A;817;187;817;190;818;190;818;187
A;724;195;724;198;726;198;726;195
A;804;195;804;195;805;195;805;195
A;925;195;925;197;926;197;926;195
A;654;197;654;197;655;197;655;197
A;956;199;956;200;958;200;958;199
A;745;200;745;200;745;200;745;200
A;289;201;289;202;304;202;304;201
A;635;203;635;203;636;203;636;203
A;642;203;642;203;642;203;642;203
A;757;203;757;203;757;203;757;203
A;294;205;294;206;295;206;295;205
A;876;208;876;208;877;208;877;208
A;443;211;443;212;446;212;446;211
A;539;212;539;213;541;213;541;212
A;568;212;568;212;568;212;568;212
A;797;212;797;212;798;212;798;212
A;283;213;283;214;286;214;286;213
A;337;215;337;223;347;223;347;215
A;761;218;761;220;765;220;765;218
A;324;219;324;222;326;222;326;219
A;578;220;578;220;581;220;581;220
A;734;220;734;220;734;220;734;220
A;739;220;739;221;740;221;740;220
A;491;223;491;224;493;224;493;223
A;636;228;636;228;637;228;637;228
A;1014;230;1014;230;1014;230;1014;230
A;256;232;256;234;261;234;261;232
A;644;232;644;232;644;232;644;232
A;957;232;957;232;957;232;957;232
A;222;235;222;236;222;236;222;235
A;433;235;433;238;435;238;435;235
A;811;235;811;237;812;237;812;235
A;317;236;317;237;319;237;319;236
A;976;236;976;237;977;237;977;236
A;477;243;477;247;478;247;478;243
